-12680,-12680,-12336,-12608,-12528,-11940,-12000,-15316,-32768,-32768,-32768,16412,27800,9360,-32768,-32768,-32768,-15640,-15332,-12804
-97,-105,-200,-387,-289,-889,-682,7024,4838,32767,32767,1485,-1380,-26954,-32768,-10850,-13420,-5260,-1182,-2143
510,379,10,287,219,-238,635,4575,-32376,-32768,-32768,-18975,13517,30740,32767,32767,15668,166,405,-8208
-14,32,340,62,283,1479,5071,18553,15159,-32768,-13391,-12502,13749,28425,32767,28379,7191,2893,-6912,-1024
2,104,206,307,410,511,614,715,816,919,1020,1122,1224,1326,1428,1529,1631,1733,1835,1937
2276,2244,2568,2468,2752,3224,2764,-32768,30600,32767,32767,19452,31304,26860,-21848,-14200,1624,900,3284,1848
3956,3804,3728,4092,3968,2972,1432,2180,32767,32767,6140,5472,12196,21472,-2060,10080,1244,2564,1352,3180
-12460,-12448,-12556,-12432,-11960,-12120,-15044,-32768,-32768,-32768,21520,22828,-256,-32768,-32768,-24512,-12744,-12332,-15176,-12772
138,-27,-203,-383,-618,-470,3729,16394,32767,25363,-1363,-12321,-23091,-23931,-20947,-9440,2443,-1870,489,-86
285,230,-23,-282,28,1673,5831,-11060,-32768,-32768,-29187,12544,32767,32767,29581,6422,4173,1248,-348,-2475
-84,102,353,486,825,2730,9662,-6396,-32768,-8094,13631,10998,32767,32767,7044,-5780,-2692,-1395,-959,2868
2,104,205,307,409,511,613,714,817,918,1020,1122,1223,1326,1427,1529,1631,1733,1835,1936
2896,2856,2400,5028,6048,-21140,-9824,32767,32767,24104,26604,27624,-29896,-18628,-3584,1032,-420,1480,1628,2136
3512,3500,3384,2028,1148,15464,20120,32767,23772,13724,12024,29684,22664,9380,5004,2792,5360,5512,5600,5464
-12144,-12856,-12896,-12956,-12720,-32704,-32768,-32768,12496,24328,8912,-32768,-32768,-32768,-12420,-13096,-12692,-11892,-11976,-12192
314,-754,-20,1364,-1257,16180,32767,32767,-7374,-231,-24413,-15288,-10954,-19842,-7311,-2538,71,952,757,376
771,442,1073,4639,-820,14713,-32768,-32768,-32768,20282,26867,32767,32767,8245,-1829,1890,-1088,812,-2182,-1981
-603,-53,323,-2055,9067,6963,-32768,-24259,-23878,16976,32767,32767,27676,10238,-2773,1109,-1797,-3557,659,182
1,104,205,307,409,511,613,714,816,918,1020,1121,1224,1325,1427,1529,1630,1733,1834,1937
2820,2864,2940,2944,3172,3800,-32768,-5520,32767,32767,29468,32767,28616,-32768,-13132,-3784,1180,1252,2000,2696
5280,5132,4936,5176,4816,5056,18060,32767,32767,7860,4996,11652,32767,23024,10204,6676,4216,4276,5616,5552
